Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
Air Lease Corporation,AL,Trading Companies & Distributors,0.8591,5423681260.0,571812.0,21.47
"Air T, Inc",AIRT,Air Freight & Logistics,0.3612,,,
"Air Transport Services Group, Inc",ATSG,Air Freight & Logistics,0.877479,,,-38.45
Airbus SE,EADSF,Aerospace & Defense,-0.089325,,,
Aircastle Limited,AYR,Trading Companies & Distributors,0.068283,,,
Airports of Thailand Public Company Limited,AIPUF,Airport Services,0.0,,,
Alamo Group Inc,ALG,Construction Machinery & Heavy Trucks,0.687717,2590013972.0,26527.0,23.86
"Alaska Air Group, Inc",ALK,Airlines,0.375652,5297837200.0,1430567.0,-0.1
Albany International Corp,AIN,Industrial Machinery,0.80825,2730312000.0,70310.0,-1.15
Alfa Laval AB (publ),ALFVF,Industrial Machinery,0.429904,,,
Allegiant Travel Company,ALGT,Airlines,0.417695,,,
Allegion plc,ALLE,Building Products,0.639283,11339168790.0,254026.0,26.51
Allied Motion Technologies Inc,AMOT,Electrical Components & Equipment,0.296,,,
"Allison Transmission Holdings, Inc",ALSN,Construction Machinery & Heavy Trucks,0.757708,7162029858.0,205516.0,78.84
"Alpha Pro Tech, Ltd",APT,Building Products,0.5198,,,53.66
Alstom SA,ALSMY,Construction Machinery & Heavy Trucks,0.119054,,,
Altra Industrial Motion Corp,AIMC,Industrial Machinery,-0.561785,,,
"Ameresco, Inc",AMRC,Construction & Engineering,0.837052,1191523088.0,252152.0,-51.82
American Airlines Group Inc,AAL,Airlines,-0.021016,,,
American Superconductor Corporation,AMSC,Electrical Components & Equipment,0.111346,,,
American Woodmark Corporation,AMWD,Building Products,0.552225,,,
Andritz AG,ADRZF,Industrial Machinery,0.2952,,,
Anhui Expressway Company Limited,AUHEF,Highways & Railtracks,0.0,,,
Api Group Corp,APG,Construction & Engineering,0.0,9439007519.0,535888.0,84.15
"Apogee Enterprises, Inc",APOG,Building Products,0.880982,,,37.67
Applied Blockchain Inc,APLD,Industrial Machinery,-0.726413,,,-5.54
"Applied Industrial Technologies, Inc",AIT,Trading Companies & Distributors,0.714633,7461659966.0,110214.0,41.88
Applied UV Inc,AUVI,Building Products,0.321987,,,-10.76
"Aqua Metals, Inc",AQMS,Environmental & Facilities Services,0.23266,,,-50.82
ArcBest Corporation,ARCB,Trucking,-0.657493,,,
Arcadis NV,ARCAY,Construction & Engineering,0.415895,,,
Archer Aviation Inc,ACHR,Aerospace & Defense,-0.816738,1298202605.0,2828171.0,66.53
Arconic Corp,ARNC,Aerospace & Defense,0.564755,,,9.8
Arcosa Inc,ACA,Construction & Engineering,0.382989,3912177196.0,63725.0,34.62
"Argan, Inc",AGX,Construction & Engineering,0.439787,655597729.0,31054.0,32.35
"Armstrong Flooring, Inc",AFI,Building Products,-0.177479,,,
"Armstrong World Industries, Inc",AWI,Building Products,0.787446,5175078377.0,178094.0,69.48
"Art's-Way Manufacturing Co., Inc",ARTW,Agricultural & Farm Machinery,0.6124,,,-22.42
Ashtead Group plc,ASHTF,Trading Companies & Distributors,0.7683,,,
